CustomerId,FirstName,LastName,Country,City,DOB
1,Yolanda,Wagner,Belgium,Brussels,02/24/1970
2,Arnold,Harmon,England,London,11/01/1943
3,Minh,Casey,Ireland,Limerick,11/24/1976
4,Russell,McIntyre,Portugal,Braga,08/05/1993
5,Angelina,Santiago,England,London,08/22/1978
6,Sabrina,Conway,England,Birmingham,06/25/1963
7,Jacqueline,Zimmerman,Belgium,Brussels,05/04/2003
8,Dewey,Francis,England,Liverpool,01/10/1957
9,Haley,McDowell,Belgium,Brussels,04/25/1987
10,Brittany,Tate,England,Liverpool,04/07/1991
11,Dario,Morse,Portugal,Porto,06/02/1967
12,Josh,Conrad,England,Liverpool,10/18/1983
13,Coleman,Rios,England,Birmingham,01/17/1951
14,Shari,Nieves,England,Liverpool,05/04/1983
15,Keri,Reyes,England,London,02/09/1996
16,Lacy,Cross,Belgium,Antwerp,04/03/1998
17,Willie,Bonner,England,Liverpool,08/02/1950
18,Silvia,Justice,England,Liverpool,02/03/1966
19,Jody,Vinson,Belgium,Brussels,04/06/1961
20,Clifford,Kent,England,Liverpool,11/14/1991
21,Rafael,Garner,Portugal,Lisbon,08/27/1949
22,Leigh,Lott,Portugal,Lisbon,03/12/1963
23,Jean,Burgess,England,London,03/14/2001
24,Andrew,Schwartz,Belgium,Brussels,10/20/1997
25,Reyna,Hogan,France,Paris,01/11/1994
26,Abby,Dominguez,England,London,03/26/1968
27,Tristan,Salas,Ireland,Tralee,02/02/1990
28,Bill,Wells,England,London,06/22/1994
29,Antony,Lowe,England,Liverpool,04/02/1949
30,Hershel,Rodriguez,Portugal,Porto,11/02/1956
31,Valeria,Phillips,Belgium,Brussels,05/10/1982
32,Jeffery,Daniel,England,London,05/07/1969
33,Dolly,Rodriguez,Portugal,Braga,02/25/1995
34,Josef,Mitchell,Ireland,Tralee,07/23/1998
35,Tristan,Merritt,Portugal,Braga,05/18/2002
36,Jan,Copeland,England,Liverpool,02/06/1969
37,Kaye,Freeman,Portugal,Lisbon,08/04/1980
38,Salvador,Nieves,England,Manchester,08/27/1970
39,Harrison,Lindsay,Portugal,Porto,10/07/1966
40,Dillon,Hurley,England,London,07/11/1975
41,Horacio,Alvarez,Portugal,Lisbon,03/27/1962
42,Joshua,Howe,England,Manchester,08/21/1979
43,Chi,Barry,Portugal,Lisbon,06/27/2000
44,Janet,Greer,England,London,04/17/2001
45,Kelly,McGuire,England,Liverpool,04/14/1976
46,Kathy,Garcia,England,Liverpool,02/11/1962
47,Erich,Melendez,Portugal,Porto,09/14/1973
48,Grant,Pope,Portugal,Lisbon,09/19/1956
49,Carla,Cross,Portugal,Lisbon,08/17/1985
50,Louise,Whitney,Portugal,Lisbon,10/12/1955
